artist,song,cleaned_text,genres
ABBA,Ahe's My Kind Of Girl,"look at her face , it 's a wonderful face and it means something special to me look at the way that she smiles when she sees me how lucky can one fellow be ? she 's just my kind of girl , she makes me feel fine who could ever believe that she could be mine ? she 's just my kind of girl , without her i 'm blue and if she ever leaves me what could i do , what could i do ? and when we go for a walk in the park and she holds me and squeezes my hand we 'll go on walking for hours and talking about all the things that we plan she 's just my kind of girl , she makes me feel fine who could ever believe that she could be mine ? she 's just my kind of girl , without her i 'm blue and if she ever leaves me what could i do , what could i do ?",Rock
ABBA,"Andante, Andante","take it easy with me , please touch me gently like a summer evening breeze take your time , make it slow andante , andante just let the feeling grow make your fingers soft and light let your body be the velvet of the night touch my soul , you know how andante , andante go slowly with me now i 'm your music ( i am your music and i am your song ) i 'm your song ( i am your music and i am your song ) play me time and time again and make me strong ( play me again 'cause you 're making me strong ) make me sing , make me sound ( you make me sing and you make me ) andante , andante tread lightly on my ground andante , andante oh please do n't let me down there 's a shimmer in your eyes like the feeling of a thousand butterflies please do n't talk , go on , play andante , andante and let me float away i 'm your music ( i am your music and i am your song ) i 'm your song ( i am your music and i am your song ) play me time and time again and make me strong ( play me again 'cause you 're making me strong ) make me sing , make me sound ( you make me sing and you make me ) andante , andante tread lightly on my ground andante , andante oh please do n't let me down make me sing , make me sound ( you make me sing and you make me ) andante , andante tread lightly on my ground andante , andante oh please do n't let me down andante , andante oh please do n't let me down","Pop,Dance,Rock"
ABBA,As Good As New,"i 'll never know why i had to go why i had to put up such a lousy rotten show boy , i was tough , packing all my stuff saying i do n't need you anymore , i 've had enough and now , look at me standing here again 'cause i found out that ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here got ta have you near as good as new , my love for you and keeping it that way is my intention as good as new and growing too yes , i think it 's taking on a new dimension it 's as good as new , my love for you just like it used to be and even better as good as new , thank god it 's true darling , we were always meant to stay together feel like a creep , never felt so cheap never had a notion that my love could be so deep how could i make such a dumb mistake now i know i 'm not entitled to another break but please , baby , i beg you to forgive 'cause i found out that ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here got ta get you near i thought that our love was at an end but here i am again as good as new , my love for you and keeping it that way is my intention as good as new and growing too yes , i think it 's taking on a new dimension it 's as good as new , my love for you just like it used to be and even better as good as new , thank god it 's true darling , we were always meant to stay together yes the love i have for you feels as good as new darling , we were always meant to stay together","Pop,Rock"
ABBA,Bang,"making somebody happy is a question of give and take you can learn how to show it so come on , give yourself a break every smile and every little touch do n't you know that they mean so much sweet sweet kisses so tender always will return to sender like a bang , a boom-a-boomerang dum-be-dum-dum be-dum-be-dum-dum oh bang , a boom-a-boomerang love is a tune you hum-de-hum-hum so give it away , i think you 'll learn you 'll get love in return so bang , a boom-a-boomerang is love a boom-a-boomerang is love love is always around and you can look for it anywhere when you feel that you 've found it my advice is to take good care never use it as a selfish tool never ever be such a fool every feeling you 're showing is a boomerang you 're throwing yes a bang , a boom-a-boomerang dum-be-dum-dum be-dum-be-dum-dum oh bang , a boom-a-boomerang love is a tune you hum-de-hum-hum so give it away , i think you 'll learn you 'll get love in return so bang , a boom-a-boomerang is love and if you 're warm and tender i 'll kiss you , return to sender please surrender bang , a boom-a-boomerang dum-be-dum-dum be-dum-be-dum-dum oh bang , a boom-a-boomerang is love a boom-a-boomerang is love",Pop
ABBA,Bang-A-Boomerang,"making somebody happy is a question of give and take you can learn how to show it so come on , give yourself a break every smile and every little touch do n't you know that they mean so much sweet sweet kisses so tender always will return to sender like a bang , a boom-a-boomerang dumb-be-dumb-dumb be-dumb-be-dumb-dumb oh bang , a boom-a-boomerang love is a tune you hum-de-hum-hum by giving away , i think you 'll learn you 'll get love in return so bang , a boom-a-boomerang is love a boom-a-boomerang is love love is always around and you can look for it anywhere when you feel that you 've found it my advice is to take good care never use it as a selfish tool never ever be such a fool every feeling you 're showing is a boomerang you 're throwing yes a bang , a boom-a-boomerang dumb-be-dumb-dumb be-dumb-be-dumb-dumb oh bang , a boom-a-boomerang love is a tune you hum-de-hum-hum by giving away , i think you 'll learn you 'll get love in return so bang , a boom-a-boomerang is love and if you 're warm and tender i 'll kiss you , return to sender please surrender bang , a boom-a-boomerang dumb-be-dumb-dumb be-dumb-be-dumb-dumb oh bang , a boom-a-boomerang is love a boom-a-boomerang is love","Pop,Rock"
ABBA,Burning My Bridges,"well , you hoot and you holler and you make me mad and i 've always been under your heel holy christ what a lousy deal now i 'm sick and tired of your tedious ways and i ai n't gon na take it no more oh no no - walkin ' out that door burning my bridges , cutting my tie once again i wan na look into the eye being myself counting my pride no un-right neighbour 's gon na take me for a ride burning my bridges moving at last girl i 'm leaving and i 'm burying the past gon na have peace now you can be free no one here will make a sucker out of me",Rock
ABBA,Cassandra,"down in the street they 're all singing and shouting staying alive though the city is dead hiding their shame behind hollow laughter while you are crying alone on your bed pity cassandra that no one believed you but then again you were lost from the start now we must suffer and sell our secrets bargain , playing smart , aching in our hearts sorry cassandra i misunderstood now the last day is dawning some of us wanted but none of us would listen to words of warning but on the darkest of nights nobody knew how to fight and we were caught in our sleep sorry cassandra i did n't believe you really had the power i only saw it as dreams you would weave until the final hour so in the morning your ship will be sailing now that your father and sister are gone there is no reason for you to linger you 're grieving deeply but still moving on you know the future is casting a shadow no one else sees it but you know your fate packing your bags , being slow and thorough knowing , though you 're late , that ship is sure to wait sorry cassandra i misunderstood now the last day is dawning some of us wanted but none of us would listen to words of warning but on the darkest of nights nobody knew how to fight and we were caught in our sleep sorry cassandra i did n't believe you really had the power i only saw it as dreams you would weave until the final hour i watched the ship leaving harbor at sunrise sails almost slack in the cool morning rain she stood on deck , just a tiny figure rigid and restrained , blue eyes filled with pain sorry cassandra i misunderstood now the last day is dawning some of us wanted but none of us would listen to words of warning but on the darkest of nights nobody knew how to fight and we were caught in our sleep sorry cassandra i did n't believe you really had the power i only saw it as dreams you would weave until the final hour i 'm sorry cassandra i 'm sorry cassandra","Rock,Heavy Metal"
ABBA,Chiquitita,"chiquitita , tell me what 's wrong you 're enchained by your own sorrow in your eyes there is no hope for tomorrow how i hate to see you like this there is no way you can deny it i can see that you 're oh so sad , so quiet chiquitita , tell me the truth i 'm a shoulder you can cry on your best friend , i 'm the one you must rely on you were always sure of yourself now i see you 've broken a feather i hope we can patch it up together chiquitita , you and i know how the heartaches come and they go and the scars they 're leaving you 'll be dancing once again and the pain will end you will have no time for grieving chiquitita , you and i cry but the sun is still in the sky and shining above you let me hear you sing once more like you did before sing a new song , chiquitita try once more like you did before sing a new song , chiquitita so the walls came tumbling down and your love 's a blown out candle all is gone and it seems too hard to handle chiquitita , tell me the truth there is no way you can deny it i see that you 're oh so sad , so quiet chiquitita , you and i know how the heartaches come and they go and the scars they 're leaving you 'll be dancing once again and the pain will end you will have no time for grieving chiquitita , you and i cry but the sun is still in the sky and shining above you let me hear you sing once more like you did before sing a new song , chiquitita try once more like you did before sing a new song , chiquitita try once more like you did before sing a new song , chiquitita","Pop,Rock"
ABBA,Crazy World,"i was out with the morning sun could n't sleep , so i thought i 'd take a walk i was thinking of you and me and i went to your house , 'cause i had to talk i could hardly believe my eyes when i saw this guy closing your front door had the feeling of emptiness like i never had before and i closed my eyes , will you leave me girl then i realized , it 's a crazy world as he disapeared in his car i was stunned and i did n't know what to do everything i had ever dreamed everything in my life 's part of you and i just could n't move my feet so i stood on the pavement as you came out you acted as you did n't know what it was all about and i closed my eyes , will you leave me girl then i realized , it 's a crazy world baby , how could you do it you just told me lies and you meet behind my back with other guys baby , how could you tell me there was only me i was stupid to believe you i was blind but now i see then you smiled and you took my hand '' there is something '' , you said , `` that you may not know there 's a couple of men in my life and one of them is my brother joe he 's been gone for a long , long time but he 's back and i think he 's gon na stay you 'll be seeing a lot of him , he 's so nice in every way '' then i closed my eyes , never leave me girl then i realized , it 's a crazy world so i closed my eyes , never leave me girl then i realized , it 's a crazy world so i closed my eyes , never leave me girl then i realized , it 's a crazy world","Pop,Rock"
ABBA,Crying Over You,i 'm waitin ' for you baby i 'm sitting all alone i feel so cold without you it chills me to the bone i never thought you 'd leave me but now i know it 's true oh lord i 'm blue i 'm cryin ' over you i 'm waitin ' for you baby i 'm sittin ' all alone i feel so cold without you it chills me to the bone i never thought you 'd leave me but now i know it 's true oh lord i 'm blue i 'm cryin ' over you cryin ' over you i 'm cryin ' over you cryin ' over little memories of things we used to do oh lord i 'm blue i 'm cryin ' over you oh lord i 'm blue i 'm cryin ' over you oh lord i 'm blue i 'm cryin ' over you,Rock
